PersoonID	Naam	Voornamen	Tussenvoegsels	Achternaam	LP_PersoonURL	LP_PersoonArchiefURL	ArchiefURLStatusCheck-17122019		Geboortedatum	Geboorteplaats	Sterfdatum	Sterfplaats
284	Ellen Tijsinger	Ellen		Tijsinger	https://www.literatuurplein.nl/persdetail?persId=284	http://web.archive.org/web/20191203190904/https://www.literatuurplein.nl/persdetail?persId=284	200	Klik	07-09-1947	Utrecht	26-03-2016	Utrecht
287	Mieke De Jong	Mieke	de	Jong	https://www.literatuurplein.nl/persdetail?persId=287	http://web.archive.org/web/20191203190920/https://www.literatuurplein.nl/persdetail?persId=287	200	Klik	15-03-1957	Castricum		
293	Tim Krabbé	Tim		Krabbé	https://www.literatuurplein.nl/persdetail?persId=293	http://web.archive.org/web/20191203190936/https://www.literatuurplein.nl/persdetail?persId=293	200	Klik	13-04-1943	Amsterdam		
296	Hugh Johnson	Hugh	 	Johnson	https://www.literatuurplein.nl/detail/persoon/hugh-johnson/296	http://web.archive.org/web/20191129134422/https://www.literatuurplein.nl/detail/persoon/hugh-johnson/296	200	Klik				
312	Gijs Wanders	Gijs		Wanders	https://www.literatuurplein.nl/persdetail?persId=312	http://web.archive.org/web/20191203190954/https://www.literatuurplein.nl/persdetail?persId=312	200	Klik	13-04-1950	Winschoten		
316	A.F.Th. Van Der Heijden	A.F.Th.	van der	Heijden	https://www.literatuurplein.nl/persdetail?persId=316	http://web.archive.org/web/20191203191013/https://www.literatuurplein.nl/persdetail?persId=316	200	Klik	15-10-1951	Geldrop		
317	Toon Hermans	Toon		Hermans	https://www.literatuurplein.nl/persdetail?persId=317	http://web.archive.org/web/20191203191030/https://www.literatuurplein.nl/persdetail?persId=317	200	Klik	17-12-1916	Sittard	22-04-2000	Nieuwegein
319	Helene Nolthenius	Helene		Nolthenius	https://www.literatuurplein.nl/persdetail?persId=319	http://web.archive.org/web/20191203191048/https://www.literatuurplein.nl/persdetail?persId=319	200	Klik	09-04-1920	Amsterdam	22-04-2000	Amsterdam
322	Hans Belterman	Hans		Belterman	https://www.literatuurplein.nl/persdetail?persId=322	http://web.archive.org/web/20191203191104/https://www.literatuurplein.nl/persdetail?persId=322	200	Klik	01-01-1934		14-08-2006	
331	Carry Slee	Carry		Slee	https://www.literatuurplein.nl/persdetail?persId=331	http://web.archive.org/web/20191203191120/https://www.literatuurplein.nl/persdetail?persId=331	200	Klik	01-07-1949	Amsterdam		
