LiteratuurpleinURL	LiteratuurpleinArchiefURL	ArchiefURLStatusCheck-07122019	
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Geheugentraining	http://web.archive.org/web/20191130194705/https://www.literatuurplein.nl/trefwoord?trefwoord=Geheugentraining	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Gelaatkunde	http://web.archive.org/web/20191130194712/https://www.literatuurplein.nl/trefwoord?trefwoord=Gelaatkunde	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Geneeskrachtige kruiden	http://web.archive.org/web/20191130194719/https://www.literatuurplein.nl/trefwoord?trefwoord=Geneeskrachtige%20kruiden	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Geneeskrachtige kruiden, Suriname	http://web.archive.org/web/20191130194726/https://www.literatuurplein.nl/trefwoord?trefwoord=Geneeskrachtige%20kruiden,%20Suriname	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Geschiedenis	http://web.archive.org/web/20191130194733/https://www.literatuurplein.nl/trefwoord?trefwoord=Geschiedenis	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Gesteenten	http://web.archive.org/web/20191130194740/https://www.literatuurplein.nl/trefwoord?trefwoord=Gesteenten	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Gezichtsbedrog	http://web.archive.org/web/20191130194748/https://www.literatuurplein.nl/trefwoord?trefwoord=Gezichtsbedrog	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Gigolo's	http://web.archive.org/web/20191130194755/https://www.literatuurplein.nl/trefwoord?trefwoord=Gigolo's	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Glas in lood	http://web.archive.org/web/20191130194802/https://www.literatuurplein.nl/trefwoord?trefwoord=Glas%20in%20lood	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Glasgraveren	http://web.archive.org/web/20191130194810/https://www.literatuurplein.nl/trefwoord?trefwoord=Glasgraveren	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Glazuren	http://web.archive.org/web/20191130194817/https://www.literatuurplein.nl/trefwoord?trefwoord=Glazuren	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Gokverslaving	http://web.archive.org/web/20191130194824/https://www.literatuurplein.nl/trefwoord?trefwoord=Gokverslaving	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Gordijnen	http://web.archive.org/web/20191130194831/https://www.literatuurplein.nl/trefwoord?trefwoord=Gordijnen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Graafmachines	http://web.archive.org/web/20191130194839/https://www.literatuurplein.nl/trefwoord?trefwoord=Graafmachines	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Grimeren	http://web.archive.org/web/20191130194846/https://www.literatuurplein.nl/trefwoord?trefwoord=Grimeren	200	Klik
